3.044436546645281894e+01 2.371808959697855083e-05 4.682581428277625886e-06
9.674967573697286127e+01 1.211896934577009822e-05 3.412169320964376030e-06
1.833773722735996046e+02 2.784699101944494479e-06 2.443381179070793102e-06
2.715871984922420665e+02 1.593611480934531248e-06 1.736657712296169040e-06
3.609922639914989873e+02 -1.132784342003540794e-07 1.252439630339797687e-06
4.508086242593499264e+02 3.118560199849440984e-07 9.511676429009724646e-07
5.406747371949277294e+02 1.723823877352353657e-06 7.932824596789868978e-07
6.306626199358051963e+02 2.698950831804711324e-06 7.392247903731338781e-07
7.206762089866062979e+02 1.306049716953119801e-06 7.494353446827066141e-07
8.103753161862210845e+02 9.500747254269570395e-07 7.843548323069992674e-07
9.000041495410140442e+02 3.374645237033165377e-08 8.044239629453044112e-07
