2.538957004963621600e+01 4.241698664710635700e-05 4.134455757172895829e-06
8.166048303159624311e+01 2.775799179077148365e-05 3.256009926751141241e-06
1.529559634825002945e+02 1.319730986223723385e-05 2.619011496606367195e-06
2.277353295953213319e+02 7.608810722131343082e-06 2.188290512558764098e-06
3.026171653104890424e+02 3.054803680567345387e-06 1.928677020428529558e-06
3.766292008239965980e+02 2.553630627873234457e-06 1.805001066035854195e-06
4.508814941027074497e+02 2.418112519128510539e-06 1.782092695200932230e-06
5.258181400404296255e+02 1.482331828099914339e-06 1.824781953743958516e-06
6.010717783169931181e+02 8.873446782636973764e-07 1.897898887485125793e-06
6.758917050200743688e+02 6.568263713117672619e-07 1.966273542244627855e-06
7.512386471799995888e+02 2.636117554924165982e-07 1.994735963842658711e-06
8.265257778149236856e+02 6.759647997074522577e-07 1.948116198099411733e-06
9.010639000339102722e+02 1.175270592820381947e-06 1.791244290835080930e-06
9.756362771972492283e+02 1.475583624643071436e-06 1.488950287869859464e-06
1.050980026823773187e+03 1.789961052287848027e-06 1.006064235023941764e-06
